DATA: 4615 x 16
Feature 0
0.067465	rho[14][12]
0.067098	rho[14][9]
0.0558416	rho[14][13]
-0.0534125	rho[14][6]
0.0293651	rho[14][2]
0.0158751	rho[14][1]
-0.00704909	rho[14][4]

Feature 15
-0.198553	rho[15][5]
-0.183328	rho[15][3]
0.172229	rho[15][13]
0.146311	rho[15][0]
0.0996316	rho[15][14]
-0.0957113	rho[15][6]
0.0740744	rho[15][7]
-0.0723159	rho[15][9]
-0.0607356	rho[15][8]
0.0461166	rho[15][2]
-0.0363895	rho[15][11]
0.0284337	rho[15][4]
-0.0133711	rho[15][10]
0.0100914	rho[15][12]
-0.00529833	rho[15][1]

